instance,RNMDT_model_solution,RNMDT_model_time,p_RNMDT_model_solution,p_RNMDT_model_time
1,1112.6125374932253,0.5253269672393799,1210.0574869281727,3.0562961101531982
2,807.8178674921409,0.04223203659057617,1858.2459615584828,4.829469919204712
3,1328.1743918608252,0.09331083297729492,1686.4366368177284,11.094336032867432
4,91.28725894093778,0.09156107902526855,1738.4579608541412,12.015063047409058
5,592.0723662046978,0.1275780200958252,907.9241671180735,12.173342943191528
6,449.03681559758417,0.1411910057067871,879.9830747217314,16.702012062072754
7,229.2761893776392,0.141920804977417,522.824585827549,9.052551031112671
8,133.32405838065185,0.17699623107910156,556.9278584912557,12.726367950439453
9,232.83003327025253,0.18503403663635254,1410.5465219379448,15.697267055511475
10,58.06720917146963,0.4391939640045166,701.4486908431325,31.60022497177124
11,38.533156142274464,0.9873778820037842,634.371693333013,48.776610136032104
12,45.65288749620645,1.210982084274292,1469.7447596950847,53.610734939575195
13,101.02233837906225,1.4609389305114746,556.58726829767,80.73950791358948
14,76.3391045675061,2.049452066421509,2236.853810394505,85.83418989181519
15,84.5698487369785,2.5438051223754883,4293.266072966875,99.55977702140808
16,109.7171790175846,3.3418638706207275,523.5784571085537,149.72575187683105
17,27.916880740196387,3.849879026412964,7939.995667494408,130.77791094779968
18,5.75115213894943,3.7082438468933105,1125.7342886319218,144.05577898025513
