instance,original_model_solution,original_model_time,RNMDT_model_solution,RNMDT_model_time,p_RNMDT_model_solution,p_RNMDT_model_time
1,16.349924978145342,0.01966094970703125,44.30278530231684,0.04347705841064453,1155.3646270061192,6.4660139083862305
2,200.10064497651504,0.01889801025390625,528.1021091410993,0.0413970947265625,646.4874521592983,4.177388906478882
3,7.102283879219738,0.02001214027404785,37.753586665826454,0.06913089752197266,640.1515917719137,3.1637661457061768
4,208.68310563646827,0.0174560546875,639.8427225089524,0.10635495185852051,1054.9850308011848,8.615472078323364
5,175.70814332170627,0.03064107894897461,827.4893909545581,0.16346406936645508,1108.6024143306422,11.246731996536255
6,99.50221534095616,0.023361921310424805,400.607462824519,0.14132380485534668,844.5326418530077,14.538459062576294
7,231.3450837401004,0.034574031829833984,843.4415715204974,0.14814090728759766,956.2706792557755,16.779156923294067
8,212.36689065200187,0.04234910011291504,777.5950634411699,0.4857749938964844,912.0585855327259,15.254093885421753
9,16.050626588152383,0.04577803611755371,95.40574868956406,0.16220307350158691,890.9374059684142,21.37715792655945
10,40.230149320054004,0.08557891845703125,284.23900010736565,0.43024110794067383,810.2916528489773,47.11272692680359
11,34.29851199339144,0.14880800247192383,150.15439721083598,0.9701659679412842,653.7170234165949,57.90138506889343
12,25.58060150757294,0.21163702011108398,130.9194474932055,1.237933874130249,697.5171893990654,89.05248713493347
13,11.043885634611794,0.22939109802246094,63.98300766539149,1.830808162689209,632.9991827533908,97.09838509559631
14,18.067980557096067,0.32405996322631836,87.19572941001724,2.187947988510132,459.8001571738861,90.42609977722168
15,15.77822734535013,0.35988616943359375,65.50850669591749,2.3795101642608643,431.575155804253,110.19119596481323
16,20.76504713591662,0.5735549926757812,116.6410649740155,2.9253830909729004,545.6452991768928,152.5398371219635
17,9.611158287708124,0.538153886795044,39.55872955718595,3.4033169746398926,364.14609556864286,136.98786115646362
18,1.6288663735219253,0.8611049652099609,6.8017815852959025,3.7773571014404297,526.1365302576025,197.00234508514404
